toss,home/away,over,runs,wicket,batsman_runs,non_striker_runs,batsman_strikerate,non_striker_strikerate,seasonal_batsman_runs,seasonal_non_striker_runs,seasonal_batsman_average,seasonal_non_striker_average,seasonal_batsman_strikerate,seasonal_non_striker_strikerate,bowler_seasonal_economy,bowler_seasonal_strikerate,recent_runrate,top_bowler1_curr,top_bowler1_prev,wick1_curr,top_bowler2_curr,top_bowler2_prev,wick2_curr,top_bowler3_curr,top_bowler3_prev,wick3_curr,wickets,run-rate,ACTRUN,PREDRUN
0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,7.986,19.6,3,3,7.986,0,7.986,7.986,0,7.986,7.986,0,0,3,11.1,7.539163
0,0,2,21,0,0,18,0,163.6363636,0,0,0,0,0,0,7.986,19.6,10.5,3,7.986,0,18,7.986,0,7.986,7.986,0,0,10.5,11.1,8.5865993
0,0,3,27,0,23,0,176.9230769,0,0,0,0,0,0,0,7.986,19.6,9,4.5,7.986,0,18,7.986,0,7.986,7.986,0,0,9,11.1,8.4149034
0,0,4,50,0,5,35,62.5,218.75,0,0,0,0,0,0,7.986,19.6,9,4.5,7.986,0,18,7.986,0,23,7.986,0,0,12.5,11.1,9.559168
0,0,5,60,0,40,10,210.5263158,90.9090909,0,0,0,0,0,0,7.986,19.6,15.6666667,6.3333333,7.986,0,18,7.986,0,23,7.986,0,0,12,11.1,9.6629415
0,0,6,61,1,41,0,205,0,0,0,0,0,0,0,7.986,19.6,13,6.3333333,7.986,0,9.5,7.986,1,23,7.986,0,1,10.1666667,11.1,9.1196052
0,0,7,68,1,44,4,191.3043478,57.1428571,0,0,0,0,0,0,7.986,19.6,11.3333333,6.3333333,7.986,0,9.5,7.986,1,15,7.986,0,1,9.7142857,11.1,9.0549417
0,0,8,73,1,47,6,174.0740741,66.6666667,0,0,0,0,0,0,7.986,19.6,6,6.3333333,7.986,0,8,7.986,1,15,7.986,0,1,9.125,11.1,8.9196846
0,0,9,77,1,7,50,70,156.25,0,0,0,0,0,0,7.986,19.6,4.3333333,6.3333333,7.986,0,8,7.986,1,15,7.986,0,1,8.5555556,11.1,8.7439658
0,0,10,87,1,58,9,161.1111111,75,0,0,0,0,0,0,7.986,19.6,5.3333333,6.3333333,7.986,0,8,7.986,1,15,7.986,0,1,8.7,11.1,8.89058
0,0,11,102,1,59,19,159.4594595,111.7647059,0,0,0,0,0,0,7.986,19.6,6.3333333,6.3333333,7.986,0,8,7.986,1,15,7.986,0,1,9.2727273,11.1,9.3265343
0,0,12,112,1,20,68,105.2631579,165.8536585,0,0,0,0,0,0,7.986,19.6,9.6666667,6.3333333,7.986,0,8,7.986,1,15,7.986,0,1,9.3333333,11.1,9.4949915
0,0,13,124,2,79,0,171.7391304,0,0,0,0,0,0,0,7.986,19.6,11.6666667,6.3333333,7.986,0,8,7.986,1,15,7.986,0,2,9.5384615,11.1,9.5363789
0,0,14,130,2,2,83,66.6666667,169.3877551,0,0,0,0,0,0,7.986,19.6,12.3333333,6.3333333,7.986,0,8,7.986,1,15,7.986,0,2,9.2857143,11.1,9.5194864
0,0,15,154,2,8,99,133.3333333,190.3846154,0,0,0,0,0,0,7.986,19.6,9.3333333,6.3333333,7.986,0,8,7.986,1,15,7.986,0,2,10.2666667,11.1,10.4305062
0,0,16,158,2,102,9,185.4545455,100,0,0,0,0,0,0,7.986,19.6,14,6.3333333,7.986,0,8,7.986,1,11.3333333,7.986,0,2,9.875,11.1,10.2081111
0,0,17,172,2,12,113,109.0909091,191.5254237,0,0,0,0,0,0,7.986,19.6,11.3333333,6.3333333,7.986,0,9.5,7.986,1,11.3333333,7.986,0,2,10.1176471,11.1,10.580712
