,match,toss,home/away,innings,over,runs,wicket,batsman_runs,non_striker_runs,batsman_strikerate,non_striker_strikerate,seasonal_batsman_runs,seasonal_non_striker_runs,seasonal_batsman_average,seasonal_non_striker_average,seasonal_batsman_strikerate,seasonal_non_striker_strikerate,bowler_seasonal_economy,bowler_seasonal_strikerate,recent_runrate,top_bowler1_curr,top_bowler1_prev,wick1_curr,top_bowler2_curr,top_bowler2_prev,wick2_curr,top_bowler3_curr,top_bowler3_prev,wick3_curr,wickets,run-rate
0,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,7.986,19.6,3,3,7.986,0,7.986,7.986,0,7.986,7.986,0,0,3
1,1,0,0,1,2,21,0,0,18,0,163.6363636,0,0,0,0,0,0,7.986,19.6,10.5,3,7.986,0,18,7.986,0,7.986,7.986,0,0,10.5
2,1,0,0,1,3,27,0,23,0,176.9230769,0,0,0,0,0,0,0,7.986,19.6,9,4.5,7.986,0,18,7.986,0,7.986,7.986,0,0,9
3,1,0,0,1,4,50,0,5,35,62.5,218.75,0,0,0,0,0,0,7.986,19.6,9,4.5,7.986,0,18,7.986,0,23,7.986,0,0,12.5
4,1,0,0,1,5,60,0,40,10,210.5263158,90.90909091,0,0,0,0,0,0,7.986,19.6,15.66666667,6.333333333,7.986,0,18,7.986,0,23,7.986,0,0,12
5,1,0,0,1,6,61,1,41,0,205,0,0,0,0,0,0,0,7.986,19.6,13,6.333333333,7.986,0,9.5,7.986,1,23,7.986,0,1,10.16666667
6,1,0,0,1,7,68,1,44,4,191.3043478,57.14285714,0,0,0,0,0,0,7.986,19.6,11.33333333,6.333333333,7.986,0,9.5,7.986,1,15,7.986,0,1,9.714285714
7,1,0,0,1,8,73,1,47,6,174.0740741,66.66666667,0,0,0,0,0,0,7.986,19.6,6,6.333333333,7.986,0,8,7.986,1,15,7.986,0,1,9.125
8,1,0,0,1,9,77,1,7,50,70,156.25,0,0,0,0,0,0,7.986,19.6,4.333333333,6.333333333,7.986,0,8,7.986,1,15,7.986,0,1,8.555555556
9,1,0,0,1,10,87,1,58,9,161.1111111,75,0,0,0,0,0,0,7.986,19.6,5.333333333,6.333333333,7.986,0,8,7.986,1,15,7.986,0,1,8.7
10,1,0,0,1,11,102,1,59,19,159.4594595,111.7647059,0,0,0,0,0,0,7.986,19.6,6.333333333,6.333333333,7.986,0,8,7.986,1,15,7.986,0,1,9.272727273
11,1,0,0,1,12,112,1,20,68,105.2631579,165.8536585,0,0,0,0,0,0,7.986,19.6,9.666666667,6.333333333,7.986,0,8,7.986,1,15,7.986,0,1,9.333333333
12,1,0,0,1,13,124,2,79,0,171.7391304,0,0,0,0,0,0,0,7.986,19.6,11.66666667,6.333333333,7.986,0,8,7.986,1,15,7.986,0,2,9.538461538
13,1,0,0,1,14,130,2,2,83,66.66666667,169.3877551,0,0,0,0,0,0,7.986,19.6,12.33333333,6.333333333,7.986,0,8,7.986,1,15,7.986,0,2,9.285714286
14,1,0,0,1,15,154,2,8,99,133.3333333,190.3846154,0,0,0,0,0,0,7.986,19.6,9.333333333,6.333333333,7.986,0,8,7.986,1,15,7.986,0,2,10.26666667
15,1,0,0,1,16,158,2,102,9,185.4545455,100,0,0,0,0,0,0,7.986,19.6,14,6.333333333,7.986,0,8,7.986,1,11.33333333,7.986,0,2,9.875
16,1,0,0,1,17,172,2,12,113,109.0909091,191.5254237,0,0,0,0,0,0,7.986,19.6,11.33333333,6.333333333,7.986,0,9.5,7.986,1,11.33333333,7.986,0,2,10.11764706
17,1,0,0,1,18,179,3,119,1,191.9354839,50,0,0,0,0,0,0,7.986,19.6,14,6.333333333,7.986,0,9.5,7.986,1,10.25,7.986,1,3,9.944444444
18,1,0,0,1,19,200,3,136,5,202.9850746,166.6666667,0,0,0,0,0,0,7.986,19.6,8.333333333,6.333333333,7.986,0,9.5,7.986,1,10.25,7.986,1,3,10.52631579
19,1,0,0,1,20,222,3,0,0,0,0,0,0,0,0,0,0,7.986,19.6,14,10.25,7.986,0,9.5,7.986,1,10.25,7.986,1,3,11.1
20,1,1,1,2,1,4,0,2,1,100,25,0,0,0,0,0,0,7.986,19.6,4,4,7.986,0,7.986,7.986,0,7.986,7.986,0,0,4
21,1,1,1,2,2,9,1,1,1,33.33333333,16.66666667,0,0,0,0,0,0,7.986,19.6,4.5,4,7.986,0,5,7.986,1,7.986,7.986,0,1,4.5
22,1,1,1,2,3,12,2,2,1,22.22222222,100,0,0,0,0,0,0,7.986,19.6,4,3.5,7.986,1,5,7.986,1,7.986,7.986,0,2,4
23,1,1,1,2,4,16,2,1,5,33.33333333,38.46153846,0,0,0,0,0,0,7.986,19.6,4,3.5,7.986,1,4.5,7.986,1,7.986,7.986,0,2,4
24,1,1,1,2,5,24,3,6,0,42.85714286,0,0,0,0,0,0,0,7.986,19.6,4,3.5,7.986,1,4.5,7.986,1,8,7.986,1,3,4.8
25,1,1,1,2,6,26,4,1,1,50,33.33333333,0,0,0,0,0,0,7.986,19.6,5,3,7.986,2,4.5,7.986,1,8,7.986,1,4,4.333333333
26,1,1,1,2,7,33,4,2,5,40,83.33333333,0,0,0,0,0,0,7.986,19.6,4.666666667,3,7.986,2,4.5,7.986,1,7.5,7.986,1,4,4.714285714
27,1,1,1,2,8,38,5,0,4,0,50,0,0,0,0,0,0,7.986,19.6,5.666666667,3,7.986,2,4.5,7.986,1,7.5,7.986,1,5,4.75
28,1,1,1,2,9,43,7,1,0,50,0,0,0,0,0,0,0,7.986,19.6,4.666666667,3,7.986,2,4.5,7.986,1,6.666666667,7.986,3,7,4.777777778
29,1,1,1,2,10,51,7,7,0,140,0,0,0,0,0,0,0,7.986,19.6,5.666666667,3,7.986,2,4.5,7.986,1,6.666666667,7.986,3,7,5.1
30,1,1,1,2,11,56,7,8,4,88.88888889,80,0,0,0,0,0,0,7.986,19.6,6,3,7.986,2,4.5,7.986,1,6.25,7.986,3,7,5.090909091
31,1,1,1,2,12,59,8,5,1,71.42857143,33.33333333,0,0,0,0,0,0,7.986,19.6,6,3,7.986,2,4.5,7.986,1,6.25,7.986,3,8,4.916666667
32,1,1,1,2,13,70,8,3,12,42.85714286,133.3333333,0,0,0,0,0,0,7.986,19.6,5.333333333,3,7.986,2,4.5,7.986,1,6.25,7.986,3,8,5.384615385
33,1,1,1,2,14,77,9,1,18,100,138.4615385,0,0,0,0,0,0,7.986,19.6,6.333333333,3,7.986,2,4.5,7.986,1,6.25,7.986,3,9,5.5
34,1,1,1,2,15,81,9,3,18,60,120,0,0,0,0,0,0,7.986,19.6,7,3,7.986,2,4.333333333,7.986,1,6.25,7.986,3,9,5.4
35,1,1,1,2,16,82,10,0,0,0,0,0,0,0,0,0,0,7.986,19.6,7.333333333,3,7.986,2,4.333333333,7.986,1,6.25,7.986,3,10,5.125
36,2,1,0,1,1,5,0,1,4,33.33333333,133.3333333,0,0,0,0,0,0,8.644549763,16.23076923,5,5,8.644549763,0,8.644549763,8.644549763,0,8.644549763,8.644549763,0,0,5
37,2,1,0,1,2,20,0,4,15,133.3333333,166.6666667,0,0,0,0,0,0,8.644549763,16.23076923,10,5,8.644549763,0,15,8.644549763,0,8.644549763,8.644549763,0,0,10
38,2,1,0,1,3,27,1,1,9,100,112.5,0,0,0,0,0,0,8.644549763,16.23076923,9,6,8.644549763,1,15,8.644549763,0,8.644549763,8.644549763,0,1,9
39,2,1,0,1,4,33,1,10,6,111.1111111,100,0,0,0,0,0,0,8.644549763,16.23076923,9,6,8.644549763,1,10.5,8.644549763,0,8.644549763,8.644549763,0,1,8.25
40,2,1,0,1,5,42,1,10,14,90.90909091,140,0,0,0,0,0,0,8.644549763,16.23076923,9.333333333,7,8.644549763,1,10.5,8.644549763,0,8.644549763,8.644549763,0,1,8.4
41,2,1,0,1,6,53,1,21,14,140,116.6666667,0,0,0,0,0,0,8.644549763,16.23076923,7.333333333,7,8.644549763,1,10.5,8.644549763,0,11,8.644549763,0,1,8.833333333
42,2,1,0,1,7,62,2,2,17,100,121.4285714,0,0,0,0,0,0,8.644549763,16.23076923,8.666666667,7,8.644549763,1,10.5,8.644549763,0,11,8.644549763,0,2,8.857142857
43,2,1,0,1,8,70,3,18,7,112.5,233.3333333,0,0,0,0,0,0,8.644549763,16.23076923,9.666666667,7,8.644549763,1,10.5,8.644549763,0,9.5,8.644549763,1,3,8.75
44,2,1,0,1,9,83,3,26,12,130,240,0,0,0,0,0,0,8.644549763,16.23076923,9.333333333,7,8.644549763,1,10.5,8.644549763,0,9.5,8.644549763,1,3,9.222222222
45,2,1,0,1,10,88,3,30,13,120,216.6666667,0,0,0,0,0,0,8.644549763,16.23076923,10,7,8.644549763,1,10.5,8.644549763,0,9.5,8.644549763,1,3,8.8
46,2,1,0,1,11,107,3,37,25,137.037037,250,0,0,0,0,0,0,8.644549763,16.23076923,8.666666667,7,8.644549763,1,10.5,8.644549763,0,9.5,8.644549763,1,3,9.727272727
47,2,1,0,1,12,127,3,32,50,266.6666667,161.2903226,0,0,0,0,0,0,8.644549763,16.23076923,12.33333333,7,8.644549763,1,10.5,8.644549763,0,9.5,8.644549763,1,3,10.58333333
